Name,Gender,Location,Birthdate,Blood Group,Phone,Department,Enrolled Year,Completed Credits,Current CGPA
Patrick Combs,Female,Badda,"Sun, Sep 19, 1999",A+,+880137985890,EEE,2016,129,2.73
Erica Nielsen,Male,Jurain,"Wed, Apr 29, 1998",O+,+880153885732,CSE,2017,132,3.43
Troy Lyons,Female,Hazaribagh,"Thu, Apr 13, 2000",B+,+880151019108,EEE,2019,108,1.72
Judith Davila,Male,Gulshan,"Thu, Dec 06, 2001",B-,+880152921919,ENH,2021,24,1.63
Brianna Montgomery,Male,Khilgaon,"Thu, May 28, 1998",B+,+880192382285,EEE,2016,126,3.46
Elizabeth Mccormick,Male,Shahbagh,"Sun, Apr 14, 2002",AB-,+880164081258,Archi,2022,51,2.29
Paul Long,Male,Motijheel,"Fri, Mar 16, 2001",B+,+880196036276,Pharma,2017,126,3.53
Sheri Edwards,Male,Sadarghat,"Fri, Jul 02, 1999",AB-,+880176983616,ESS,2017,123,2.99
Jerry Reyes,Male,Dhanmondi,"Tue, Aug 31, 1999",A+,+880184671057,ESS,2020,102,3.91
Juan Stewart,Female,Hazaribagh,"Thu, Apr 05, 2001",A+,+880154477348,EEE,2017,123,3.08
Matthew Castillo,Female,Abdullahpur,"Sun, Mar 04, 2001",A+,+880192622710,EEE,2019,96,2.78
Robert Mendoza,Female,Nimtoli,"Fri, Jul 09, 1999",O+,+880139909151,MNS,2020,75,2.25
Amy Brown,Male,Cantonment area,"Mon, Jan 28, 2002",A+,+880147577328,MNS,2018,81,3.74
Jay Williams,Female,Badda,"Sun, Feb 28, 1999",AB-,+880198644097,ESS,2016,132,1.84
Tracie Gibson,Female,Shyampur,"Sat, May 15, 1999",B-,+880160653447,Law,2023,3,2.97
Mathew Keith,Male,Nimtoli,"Sat, Jan 30, 1999",AB+,+880150350294,Pharma,2022,51,3.08
Kelly Rojas,Male,Motijheel,"Sat, Dec 04, 1999",AB-,+880140898070,BBS,2020,114,3.86
Jose Mccormick,Female,Rampura,"Tue, Oct 03, 2000",B+,+880132127593,ENH,2019,63,2.83
Bianca Parker,Male,Agargaon,"Tue, Feb 20, 2001",A-,+880163496824,ESS,2019,72,3.74
Mercedes Morales,Female,Kazipara,"Wed, Jun 30, 1999",O-,+880191840125,ESS,2020,90,3.09
Miss Kathy Sanchez,Female,Motijheel,"Fri, Jan 21, 2000",B+,+880196498321,Law,2016,129,1.69
Evan Nichols,Female,Lalbagh,"Tue, Mar 20, 2001",B+,+880161933879,CSE,2021,51,3.79
Todd Hancock,Male,Bashundhara,"Sun, Oct 24, 1999",A+,+880137396205,BBS,2020,108,2.42
Melissa Bell,Female,Kazipara,"Thu, Nov 02, 2000",AB+,+880140977714,BBS,2020,117,4.00
Jesus Hansen,Male,Dakshinkhan,"Sun, Jul 19, 1998",B+,+880179782418,Pharma,2022,51,2.03
Catherine Soto,Female,Tejgaon,"Sat, Jul 25, 1998",O-,+880131270125,ESS,2016,129,3.23
Katelyn Williams,Male,Baridhara,"Fri, Nov 15, 2002",A+,+880187135669,Pharma,2018,78,2.47
Cassidy Carter,Female,Agargaon,"Wed, Oct 28, 1998",O+,+880156360000,CSE,2016,132,2.80
Alexandra Wagner,Female,Farmgate,"Fri, Mar 16, 2001",B+,+880171086405,Pharma,2017,132,2.70
Morgan Barber,Female,Bashundhara,"Sat, Nov 07, 1998",O-,+880180442585,Pharma,2016,123,2.01
Mrs. Jennifer Hatfield,Male,Uttarkhan,"Sun, May 07, 2000",O+,+880191722722,ENH,2018,75,3.89
Wendy Frey,Female,Mohakhali,"Mon, Jan 17, 2000",A-,+880158366449,Law,2020,90,2.66
Eric Austin,Female,Motijheel,"Tue, Sep 04, 2001",B-,+880185381060,Archi,2023,15,2.87
Austin Bowman,Male,Rampura,"Sat, Aug 25, 2001",AB-,+880151478429,Law,2016,123,3.03
Maureen Rodriguez,Female,Kamalapur,"Wed, Jun 09, 1999",A+,+880136143892,MNS,2019,90,2.07
Michael Munoz,Female,Kafrul,"Wed, Aug 09, 2000",O-,+880180077848,Law,2020,75,2.65
Valerie Morse,Female,Farmgate,"Tue, Mar 28, 2000",O+,+880132078257,BBS,2023,12,2.95
Michael Jones,Female,Rampura,"Sun, Aug 26, 2001",A-,+880169712005,ENH,2023,21,2.37
Tiffany Suarez,Male,Vatara,"Sat, Nov 28, 1998",A-,+880152604359,Pharma,2023,6,1.56
Mr. Brian Spencer,Female,Abdullahpur,"Mon, Feb 15, 1999",O-,+880161804339,Pharma,2018,90,1.95
James Thomas,Male,Sher-e-Bangla Nagar,"Tue, Aug 17, 1999",AB+,+880153985974,EEE,2019,105,3.60
Thomas Carey,Female,Banasree,"Tue, Jun 20, 2000",B+,+880196704673,ESS,2019,99,2.79
Ashley Harvey,Female,Pallabi,"Wed, Jun 23, 1999",O-,+880173600153,BBS,2023,21,1.56
Kevin Owens,Male,Shahbagh,"Tue, Jun 01, 1999",AB+,+880161907700,MNS,2023,6,1.50
Daniel Murphy,Female,Kafrul,"Wed, Jul 12, 2000",A-,+880193767630,CSE,2021,54,2.94
Maria Brown,Female,Farmgate,"Fri, Mar 23, 2001",B+,+880177065170,Pharma,2016,123,1.64
Dillon Roberts,Female,Beraid,"Tue, Apr 06, 1999",O+,+880137047670,BBS,2017,132,1.74
Jessica Duncan,Female,Gabtali,"Thu, Jun 06, 2002",A+,+880141689131,Archi,2018,120,2.84
Todd Simpson,Female,Demra,"Tue, Jan 29, 2002",AB+,+880198618708,Law,2022,51,1.89
Larry Lopez,Female,Uttarkhan,"Sat, Nov 13, 1999",A+,+880155751225,Law,2020,111,1.94
Maureen Thornton,Male,Nimtoli,"Wed, Nov 10, 1999",B-,+880189027815,CSE,2022,57,3.69
Lauren Montes,Male,Mirpur,"Thu, Aug 06, 1998",O+,+880158423715,Pharma,2020,99,2.43
Charles Merritt,Female,Uttara,"Tue, Jan 01, 2002",A-,+880180081645,ESS,2022,45,3.15
Megan Watts,Male,Paltan,"Thu, Oct 15, 1998",A-,+880142128910,Archi,2023,12,2.43
Sherry Hall,Male,Sher-e-Bangla Nagar,"Sat, Jun 01, 2002",B-,+880176362140,Archi,2021,57,2.70
Jeremiah Mills,Male,Beraid,"Wed, Jun 07, 2000",A+,+880177956672,BBS,2015,132,2.27
Anthony Sanchez,Male,Motijheel,"Wed, Jul 25, 2001",A+,+880179809862,CSE,2023,3,1.92
Sierra Mclaughlin,Female,Banani,"Sun, Apr 21, 2002",A-,+880143786983,Pharma,2017,126,2.54
Christina Little,Male,Farmgate,"Tue, Feb 18, 2003",A+,+880176015815,ENH,2015,132,3.71
James Ross,Female,Mirpur,"Wed, Jan 17, 2001",O+,+880177956490,BBS,2023,21,3.08
Devon Ellis,Male,Gulshan,"Fri, Mar 08, 2002",A+,+880198598481,ENH,2019,63,2.73
Maureen Dickerson,Male,Ramna,"Mon, Oct 22, 2001",AB+,+880164931764,EEE,2020,114,3.23
Robin Martin,Female,Khilkhet,"Tue, Dec 24, 2002",A+,+880174988606,Archi,2019,102,2.51
Tammy Woods DDS,Male,Kazipara,"Wed, Apr 14, 1999",A-,+880168330828,MNS,2017,132,3.39
Jennifer Smith,Female,Khilgaon,"Wed, Dec 05, 2001",O-,+880144647425,Law,2019,75,3.30
Mr. Andrew Cordova,Male,Mohammadpur,"Sat, Dec 01, 2001",O+,+880147748885,ENH,2022,57,3.86
Audrey Johnston,Male,Dakshinkhan,"Wed, Jun 26, 2002",B-,+880144272068,BBS,2016,136,2.98
Robert Dominguez,Male,Uttara,"Sun, Jan 31, 1999",AB-,+880188189832,EEE,2022,30,3.00
Thomas Vasquez,Female,Shyampur,"Sun, Aug 11, 2002",A-,+880154195069,MNS,2023,15,3.68
Ashley Rodriguez,Female,Mohakhali,"Thu, Aug 20, 1998",O-,+880180355848,Archi,2018,90,2.19
Lauren Reilly,Male,Wari,"Fri, Aug 18, 2000",O+,+880187977233,EEE,2017,126,2.30
John Forbes,Male,Dakshinkhan,"Sat, Sep 26, 1998",AB-,+880164664286,ESS,2022,42,2.38
Jonathan Ward,Male,Wari,"Mon, Sep 23, 2002",AB+,+880179585286,MNS,2020,75,3.91
Christopher Newman,Female,Paltan,"Thu, Dec 23, 1999",AB-,+880177446375,EEE,2022,57,3.48
Gregory Garcia,Male,Uttarkhan,"Mon, Mar 15, 1999",O-,+880155461740,ESS,2017,126,1.68
Brittany Owens,Male,Motijheel,"Sat, Aug 10, 2002",B-,+880176657110,MNS,2023,18,3.81
Katie Fischer,Female,Sher-e-Bangla Nagar,"Mon, Jul 06, 1998",A-,+880170924828,MNS,2015,129,3.12
Mark Conrad,Male,Khilkhet,"Wed, Apr 25, 2001",A-,+880189690836,Law,2015,136,3.26
Christine Palmer,Female,Shahbagh,"Mon, Feb 25, 2002",AB+,+880187153625,MNS,2016,132,2.80
John Rodriguez,Male,Jurain,"Mon, Jun 17, 2002",O-,+880171864727,ESS,2017,136,2.24
Victoria Wilson,Female,Sadarghat,"Sat, Jan 12, 2002",AB-,+880143266763,Law,2023,9,3.88
Katelyn Mitchell,Female,Lalbagh,"Sat, Jul 27, 2002",B-,+880187721408,BBS,2020,75,2.34
Brian Smith,Female,Kafrul,"Sun, Sep 26, 1999",O+,+880130483419,ESS,2018,105,2.97
Jason King,Male,Hazaribagh,"Tue, Jul 16, 2002",A+,+880151024476,MNS,2021,33,3.93
Angela Chapman,Female,Farmgate,"Mon, Dec 14, 1998",O-,+880187710278,Pharma,2017,123,3.55
John Johnston,Male,Uttara,"Wed, Jul 29, 1998",O-,+880176604388,Pharma,2021,45,3.27
Jeffrey Wells,Female,Shahbagh,"Wed, Jul 26, 2000",AB-,+880183388882,ENH,2019,87,2.44
Steven Franco,Male,Beraid,"Wed, Nov 15, 2000",B+,+880133248893,CSE,2017,136,3.55
Mrs. Katie Dunn,Male,Cantonment area,"Wed, Oct 03, 2001",A-,+880178540157,Archi,2021,39,3.74
Ryan Bray,Male,Farmgate,"Fri, Dec 14, 2001",A-,+880193067047,MNS,2016,129,2.62
Susan Miller,Female,Tejgaon,"Sun, Sep 15, 2002",AB+,+880157715741,Pharma,2018,111,2.70
John Martinez,Male,Demra,"Thu, May 04, 2000",AB+,+880174505815,ESS,2023,18,3.25
Susan Thompson MD,Male,Cantonment area,"Thu, Feb 08, 2001",O+,+880191284752,ESS,2015,136,1.74
Samuel Barry,Male,Beraid,"Fri, Apr 14, 2000",O+,+880165021910,BBS,2023,3,3.40
Ms. Kelly Stanton,Male,Kamrangirchar,"Tue, Mar 18, 2003",O-,+880158973875,MNS,2020,117,3.56
Robert Miller,Male,Kamalapur,"Tue, Jul 17, 2001",B-,+880196647569,MNS,2017,136,3.86
Tommy Torres,Female,Wari,"Sat, Nov 11, 2000",B+,+880171776320,CSE,2015,126,1.57
David Hill,Female,Shyampur,"Sat, Dec 15, 2001",B-,+880168835586,Archi,2021,27,3.34
Mary Lee,Male,Rampura,"Mon, Jun 29, 1998",B-,+880148693506,MNS,2017,129,2.69
Miss Crystal Fox,Female,Banani,"Fri, Apr 20, 2001",AB+,+880147506089,BBS,2022,45,2.50
Kathryn Henry,Male,Kamalapur,"Fri, Jan 14, 2000",B+,+880167446531,MNS,2015,129,2.64
Michelle Hernandez,Male,Demra,"Tue, May 25, 1999",O+,+880169283983,Archi,2022,27,3.85
Rebecca Hall,Female,Wari,"Mon, May 03, 1999",AB+,+880153075835,MNS,2019,108,2.08
Julie Cook,Female,Khilkhet,"Tue, Nov 16, 1999",O+,+880149603684,Pharma,2021,42,2.44
Heather Robinson,Female,Banasree,"Thu, Mar 14, 2002",B+,+880192322674,EEE,2022,27,2.10
Brian Wilson,Female,Lalbagh,"Sun, Sep 03, 2000",AB-,+880132232311,CSE,2015,136,2.16
James Faulkner,Male,Mohakhali,"Mon, Jan 25, 1999",B-,+880139051786,Pharma,2022,45,3.78
Mary Lowe,Male,Agargaon,"Tue, Apr 23, 2002",AB-,+880175344256,Law,2017,123,3.84
Travis Austin,Male,Lalbagh,"Mon, Sep 06, 1999",A+,+880194521826,Pharma,2019,102,2.65
Derrick Hansen,Female,Hazaribagh,"Wed, Dec 06, 2000",AB-,+880183181036,Pharma,2016,132,2.48
John Soto,Male,Mirpur,"Sun, Oct 17, 1999",B-,+880159750240,EEE,2022,39,2.63
Morgan Zimmerman,Female,Motijheel,"Wed, Aug 04, 1999",AB+,+880152249985,Pharma,2020,66,2.49
Joshua Cruz,Male,Bashundhara,"Sun, Mar 03, 2002",B-,+880193828859,ENH,2016,126,3.88
Patricia Hamilton,Female,Khilkhet,"Sat, Jan 19, 2002",O+,+880144116529,ENH,2019,69,2.94
John Jones,Male,Mohammadpur,"Thu, Apr 11, 2002",AB-,+880144536723,Law,2021,54,1.71
Kathryn Moore,Male,Pallabi,"Fri, Dec 29, 2000",AB+,+880134499271,Pharma,2023,6,2.54
April Patrick,Female,Bashundhara,"Wed, Feb 26, 2003",A+,+880174942707,ENH,2018,102,1.71
Adam Kennedy,Female,Badda,"Mon, Mar 08, 1999",A-,+880152812613,Pharma,2020,114,2.32
Regina Parrish,Female,Shyampur,"Sun, Jun 10, 2001",AB-,+880185528394,Archi,2019,120,3.82
Michael Parrish,Female,Mohammadpur,"Thu, Nov 21, 2002",O-,+880188021827,CSE,2018,81,1.61
Christina Torres,Female,Agargaon,"Tue, Jan 26, 1999",O-,+880147858777,EEE,2023,15,2.07
Ronald Haney,Male,Motijheel,"Sat, Aug 14, 1999",A+,+880171058862,Archi,2020,114,3.35
Fernando Coleman,Male,Banasree,"Tue, Jul 02, 2002",O+,+880190052371,EEE,2017,129,3.36
Miss Michelle Murillo,Male,Khilgaon,"Mon, Jun 11, 2001",O-,+880169864112,Archi,2023,6,1.58
Stacy Jordan,Female,Shahbagh,"Sat, Feb 06, 1999",O+,+880192331099,MNS,2023,21,1.81
George Campbell,Female,Vatara,"Thu, Feb 07, 2002",O+,+880157935739,EEE,2022,42,3.13
Dwayne Berg,Female,Abdullahpur,"Thu, Aug 12, 1999",A+,+880153191887,MNS,2019,108,2.00
Michael Cook,Male,Uttara,"Sat, Aug 25, 2001",AB-,+880196139845,Law,2018,87,1.63
Paul Ortega,Male,Kafrul,"Sun, Jul 29, 2001",O+,+880142432384,CSE,2017,126,2.59
Catherine Holmes,Female,Tejgaon,"Sun, May 14, 2000",AB-,+880183226265,EEE,2022,57,3.02
Krista Carrillo,Female,Khilgaon,"Sat, Dec 05, 1998",B-,+880179356703,MNS,2017,136,3.15
Alexander Mueller,Male,Nimtoli,"Tue, Jun 11, 2002",A-,+880135625286,Pharma,2018,81,3.15
Jeffrey Williams,Female,Khilkhet,"Tue, Dec 17, 2002",O-,+880176248808,ENH,2016,129,1.55
Edward Knight,Female,Mirpur,"Wed, Feb 12, 2003",A-,+880163960777,BBS,2016,126,1.77
Jose Walsh,Male,Wari,"Mon, May 06, 2002",A+,+880153254268,CSE,2022,42,3.32
Kayla Duarte,Male,Pallabi,"Sat, Jan 25, 2003",B-,+880174236989,Law,2022,57,2.79
Jesse Green,Male,Kafrul,"Fri, Jul 23, 1999",AB-,+880176896965,ENH,2020,69,2.64
Gerald Salinas,Female,Ramna,"Sun, Sep 06, 1998",AB+,+880186883920,ENH,2021,27,3.24
Mackenzie Davis,Male,Vatara,"Sat, Jun 17, 2000",AB-,+880137931775,MNS,2017,129,2.07
Nicholas Schaefer,Female,Wari,"Mon, May 10, 1999",AB+,+880192953394,Law,2023,18,3.25
Trevor King,Male,Mohakhali,"Tue, Mar 26, 2002",O-,+880183682110,ENH,2015,129,2.93
Justin Myers,Female,Hazaribagh,"Fri, Oct 01, 1999",AB+,+880161720096,ESS,2020,96,3.77
April Patrick,Female,Vatara,"Thu, Jul 19, 2001",B+,+880145730840,ENH,2019,72,1.87
Walter Campbell,Female,Hazaribagh,"Mon, Jul 10, 2000",A-,+880183067634,ESS,2023,6,3.02
John Spencer,Male,Banasree,"Fri, Jan 12, 2001",A+,+880178985108,Law,2021,45,2.24
Thomas Fisher,Female,Nimtoli,"Fri, Feb 19, 1999",O-,+880171984746,CSE,2023,12,2.38
Robert Woods,Female,Motijheel,"Sun, Sep 08, 2002",A-,+880191768282,BBS,2019,63,2.43
Rebecca Wolfe,Female,Demra,"Wed, Nov 22, 2000",O+,+880199441503,CSE,2016,123,1.84
Hayley Smith,Female,Uttarkhan,"Sat, Mar 15, 2003",A+,+880183861119,ENH,2023,9,2.90
Amber Baker,Male,Vatara,"Sun, Nov 18, 2001",AB+,+880197584281,ENH,2023,9,3.78
Susan Lane,Male,Tejgaon,"Fri, Oct 05, 2001",A-,+880195585188,Archi,2018,114,1.84
Vanessa Baker,Male,Lalbagh,"Mon, Feb 14, 2000",O+,+880162609610,Pharma,2018,108,2.71
Benjamin Keller,Female,Rampura,"Sun, Mar 23, 2003",A+,+880199624707,Law,2020,90,2.43
Sarah Austin,Male,Baridhara,"Fri, Dec 22, 2000",AB-,+880166984525,Law,2020,84,1.61
Kyle Scott,Female,Pallabi,"Sun, Nov 10, 2002",A-,+880165101831,MNS,2017,136,3.42
Cindy Mccann,Female,Demra,"Fri, May 25, 2001",A-,+880163413420,Pharma,2015,132,3.06
William Castaneda,Male,Khilkhet,"Wed, Sep 19, 2001",A-,+880193117104,CSE,2018,111,3.85
Arthur Foley,Male,Gabtali,"Fri, Jul 05, 2002",AB+,+880150225811,Archi,2022,33,2.75
Eric Fisher,Male,Kafrul,"Fri, Jun 29, 2001",AB+,+880199821990,Archi,2019,66,2.98
Stacey Green,Female,Dhanmondi,"Fri, Dec 21, 2001",A+,+880131656791,EEE,2015,123,1.92
Jason Shannon,Female,Lalbagh,"Sat, Jul 24, 1999",O-,+880171077395,Pharma,2021,42,3.37
Elizabeth Erickson,Male,Rampura,"Wed, Jun 27, 2001",O-,+880159437379,ENH,2019,87,1.71
Thomas Moore,Female,Uttara,"Fri, Jul 02, 1999",O+,+880132700849,BBS,2016,129,2.51
Susan Lee,Female,Dhanmondi,"Mon, Feb 04, 2002",A+,+880144094156,CSE,2015,126,1.63
Olivia Martinez,Female,Agargaon,"Fri, Aug 24, 2001",AB+,+880141030714,Archi,2015,136,3.15
Ellen Wood,Male,Shahbagh,"Thu, Jun 07, 2001",O-,+880163768556,BBS,2022,27,2.05
Christina Avery DDS,Male,Hazaribagh,"Thu, Nov 30, 2000",B-,+880195445999,Law,2018,108,3.44
Danielle Burch,Male,Nimtoli,"Sun, May 23, 1999",B-,+880183345850,Law,2022,48,1.99
Jay Dunn,Female,Uttara,"Sat, Sep 28, 2002",AB+,+880142004537,Law,2017,123,2.85
David Martinez,Male,Paltan,"Mon, May 28, 2001",O-,+880156867907,EEE,2021,24,3.38
Randy Ruiz,Male,Farmgate,"Tue, Nov 02, 1999",B+,+880153372150,CSE,2019,111,1.68
Erin Padilla,Male,Dhanmondi,"Sat, Jan 25, 2003",A+,+880182586917,MNS,2023,18,2.10
Alyssa Shaw,Female,Kazipara,"Tue, Oct 23, 2001",O-,+880156809110,ESS,2021,36,3.91
Christian Butler,Female,Lalbagh,"Wed, May 27, 1998",B+,+880155684007,Archi,2019,114,3.58
Paul Ali,Female,Dhanmondi,"Fri, Mar 02, 2001",O-,+880183634889,Pharma,2021,60,1.80
Felicia Wong,Female,Motijheel,"Wed, Jul 19, 2000",AB-,+880176601024,Archi,2023,18,1.72
Andrea Gonzales,Male,Rampura,"Mon, Mar 15, 1999",O-,+880185474448,EEE,2016,132,3.55
Ryan Hall,Female,Tejgaon,"Tue, Oct 22, 2002",A+,+880145846367,Law,2020,111,3.12
Michael Torres,Male,Agargaon,"Fri, May 05, 2000",AB+,+880132113756,BBS,2018,84,2.45
Joshua Smith,Female,Shyampur,"Tue, Mar 06, 2001",O-,+880164776625,CSE,2016,132,3.84
Patricia Jackson,Female,Dhanmondi,"Tue, Mar 30, 1999",AB+,+880134742222,CSE,2023,18,2.75
Jesse Wright,Female,Uttara,"Sat, Sep 21, 2002",A+,+880196590475,Law,2022,27,2.01
Scott Simpson,Male,Ramna,"Thu, Sep 09, 1999",AB+,+880163265314,MNS,2023,18,2.05
Carrie Bishop,Female,Jurain,"Sat, Aug 14, 1999",O+,+880180315477,ENH,2017,132,3.28
Brandon Ellis,Female,Baridhara,"Sun, Jun 30, 2002",AB+,+880177201009,Law,2016,123,1.70
Patrick Hopkins,Male,Mohakhali,"Sat, Nov 30, 2002",O-,+880150986229,BBS,2021,33,2.84
David Wells,Female,Abdullahpur,"Thu, Oct 14, 1999",A-,+880190395861,Archi,2022,33,2.02
Kelly Clark,Male,Dhanmondi,"Sat, Sep 05, 1998",A-,+880136479782,MNS,2020,81,2.71
Brian Gonzales,Male,Demra,"Wed, Dec 11, 2002",B+,+880136737192,Pharma,2020,75,2.79
James Byrd,Male,Mohakhali,"Sun, Sep 19, 1999",A+,+880177089216,ENH,2017,129,3.76
Johnny Fernandez,Female,Baridhara,"Sun, May 09, 1999",A+,+880154464191,BBS,2017,136,2.60
Jacqueline Ritter,Male,Kamalapur,"Fri, Aug 28, 1998",B+,+880162452097,BBS,2017,136,2.25
Albert Gonzalez,Male,Banani,"Fri, May 08, 1998",A+,+880176066826,EEE,2023,3,1.85
William Owen,Male,Motijheel,"Sat, Dec 21, 2002",A+,+880186636891,Law,2021,60,2.40
Carrie Fernandez PhD,Female,Hazaribagh,"Sun, Feb 02, 2003",O-,+880144226718,MNS,2020,78,3.76
Denise Perry,Female,Nimtoli,"Mon, Jul 30, 2001",A+,+880197603421,ENH,2021,36,1.90
Kristopher White,Male,Nimtoli,"Fri, Jul 13, 2001",O-,+880191406023,MNS,2015,123,3.68
Joseph Long,Female,Nimtoli,"Thu, May 04, 2000",O-,+880182310953,ESS,2020,87,2.78
Taylor Nunez,Female,Badda,"Sun, Dec 22, 2002",AB-,+880137240407,Law,2023,3,2.33
Veronica Howard,Male,Baridhara,"Sun, Dec 12, 1999",O-,+880187725793,EEE,2016,136,2.74
Jason Sosa,Female,Baridhara,"Mon, Mar 29, 1999",AB-,+880149238657,ENH,2017,126,2.25
Brandon Kelly,Female,Bashundhara,"Sat, Apr 24, 1999",A+,+880178374585,ENH,2015,132,3.22
Allison Smith,Male,Uttarkhan,"Tue, Aug 28, 2001",A+,+880150647780,CSE,2023,21,3.27
Curtis Garcia,Male,Pallabi,"Sat, Jan 04, 2003",A-,+880152057987,BBS,2020,117,3.27
Thomas Walker,Male,Hazaribagh,"Fri, Mar 29, 2002",O-,+880131477640,ENH,2020,78,2.58
Juan Brown,Female,Dhanmondi,"Sun, May 13, 2001",A-,+880134865859,Archi,2015,132,2.67
Bethany Sexton,Female,Paltan,"Fri, Mar 07, 2003",A+,+880145582882,BBS,2022,45,3.19
Jamie Mays,Female,Sadarghat,"Mon, May 24, 1999",O+,+880190556283,Archi,2017,126,3.93
Joseph Mejia,Male,Sher-e-Bangla Nagar,"Mon, Apr 09, 2001",B-,+880140344212,Pharma,2021,51,2.75
April Stephens,Female,Sher-e-Bangla Nagar,"Sat, Oct 17, 1998",AB+,+880142043403,ENH,2018,69,3.47
Matthew James,Female,Farmgate,"Sun, Dec 15, 2002",AB+,+880137034191,Pharma,2021,42,3.12
Kari Morse,Female,Mohammadpur,"Sun, Jun 20, 1999",A+,+880163943046,Archi,2020,120,3.34
Christine Mccormick,Male,Sadarghat,"Thu, Aug 15, 2002",AB-,+880154263714,CSE,2018,66,2.97
Daniel Hernandez,Male,Agargaon,"Tue, Mar 18, 2003",O+,+880150909203,MNS,2019,78,3.54
Donald Berger,Male,Pallabi,"Sun, Jul 18, 1999",AB-,+880186711718,MNS,2021,36,2.89
Peter Rich,Female,Farmgate,"Fri, Mar 21, 2003",AB+,+880138332932,CSE,2015,129,3.99
Terry Dunlap,Female,Vatara,"Sun, Apr 28, 2002",B+,+880148047801,Archi,2017,132,3.74
Anna Snow,Male,Nimtoli,"Sun, Jul 04, 1999",B-,+880153447393,MNS,2021,27,1.51
Nicholas Richardson,Female,Uttarkhan,"Sun, Nov 22, 1998",B-,+880168827683,ESS,2020,84,2.07
Amanda Walton,Female,Bashundhara,"Mon, Jul 06, 1998",B-,+880140935454,Law,2015,123,2.01
Mr. Michael Santiago,Male,Tejgaon,"Mon, Dec 13, 1999",A-,+880183745426,Pharma,2018,72,1.62
Richard Newton,Male,Baridhara,"Mon, Apr 01, 2002",AB-,+880153588303,Archi,2015,123,1.82
Anthony Martinez,Female,Banasree,"Tue, Oct 01, 2002",A+,+880147281959,EEE,2023,12,3.87
Jerry Sanchez,Female,Uttarkhan,"Tue, Jun 05, 2001",O+,+880174631904,Pharma,2023,12,2.96
Andrew Fernandez,Female,Rampura,"Tue, Jul 10, 2001",O-,+880153349920,ENH,2020,120,3.77
Ashley Kelly,Male,Cantonment area,"Sun, May 24, 1998",AB-,+880172563285,EEE,2017,123,3.99
Vanessa Briggs,Female,Badda,"Wed, Aug 18, 1999",AB+,+880198754963,Pharma,2017,123,3.81
Crystal Pena,Female,Badda,"Wed, Apr 09, 2003",A-,+880187814897,Pharma,2021,33,2.88
Mrs. Colleen Taylor MD,Male,Mohakhali,"Wed, May 22, 2002",AB-,+880163146768,EEE,2018,66,3.53
Daniel Rodriguez,Female,Kafrul,"Sun, Dec 24, 2000",A-,+880177932208,Law,2019,66,3.26
William Harper,Female,Mohakhali,"Fri, Apr 19, 2002",O+,+880142098718,ENH,2018,90,3.32
Margaret Kirby,Male,Nimtoli,"Fri, Jun 02, 2000",A+,+880197816296,CSE,2020,105,3.58
Matthew Ochoa,Female,Paltan,"Fri, Mar 31, 2000",O-,+880189545361,Law,2017,123,3.49
Krystal Brady,Female,Mirpur,"Mon, May 10, 1999",O+,+880151864040,Law,2022,51,3.28
Jason Anderson,Female,Kazipara,"Sat, May 15, 1999",B+,+880134106443,MNS,2017,126,3.47
Kelly Fowler,Female,Sadarghat,"Fri, Jul 06, 2001",B+,+880179097596,Archi,2023,18,3.08
Jerry Brown,Female,Mohakhali,"Wed, Aug 12, 1998",B-,+880142313556,EEE,2021,36,3.41
Yvonne Adams,Female,Lalbagh,"Tue, Dec 18, 2001",A+,+880133801275,BBS,2022,39,3.70
Katherine Perez,Male,Khilkhet,"Tue, May 23, 2000",A-,+880194048992,MNS,2017,123,3.10
Jacqueline Hill,Female,Hazaribagh,"Tue, Sep 28, 1999",B-,+880133155655,Pharma,2015,126,2.97
Brenda Diaz,Female,Paltan,"Wed, Oct 04, 2000",A-,+880196379830,MNS,2015,123,3.20
Melissa Wallace,Female,Jurain,"Wed, Jan 10, 2001",O+,+880190822525,EEE,2016,132,2.08
David Reese,Male,Lalbagh,"Tue, Sep 11, 2001",O-,+880144009586,ESS,2022,24,1.82
Katrina Gray,Male,Badda,"Mon, Nov 15, 1999",B+,+880183177489,ESS,2020,114,2.03
Catherine Parks,Male,Sher-e-Bangla Nagar,"Sat, Jul 03, 1999",B-,+880183484391,CSE,2019,111,2.66
Kimberly Coleman,Male,Banasree,"Sat, Aug 04, 2001",B-,+880189965507,ENH,2017,126,3.54
Kimberly Harris,Female,Dakshinkhan,"Tue, Jun 22, 1999",B+,+880180499636,ENH,2021,27,2.58
Matthew Meyer,Female,Demra,"Thu, Nov 11, 1999",B-,+880133743209,EEE,2021,24,1.78
Scott Myers,Female,Gulshan,"Mon, Mar 01, 1999",B-,+880183134320,ESS,2020,72,3.75
Alexandra Bowman,Female,Kamalapur,"Thu, Sep 28, 2000",B-,+880174738953,CSE,2020,99,1.83
Darren Wilson,Female,Kazipara,"Mon, Dec 04, 2000",B-,+880170802995,EEE,2023,3,3.54
Jennifer Fisher,Male,Cantonment area,"Mon, Apr 13, 1998",B-,+880183217327,Pharma,2021,39,2.96
Sean Neal,Male,Banani,"Sun, Jun 17, 2001",O+,+880132306168,CSE,2019,93,2.59
